ID,Date,Address,Suite,PermitType,ConstructionCost,OwnerName,Contractor,parcel_id,lat,long
170142,06-03-2014,3105 BLACKFORD PKWY,,GRADING RESIDENTIAL,0,BALL HOMES,BALL HOMES INC,38196180,-84.3919832031822,38.0192711379755
174166,02-28-2020,2361 MULUNDY WAY,,GRADING RESIDENTIAL,0,THE BRIGGS COMPANY,THE BRIGGS COMPANY,38145570,-84.5267016908322,38.0964497237461
174436,02-25-2020,4104 JOHN ALDEN LN,,GRADING RESIDENTIAL,0,SHAEFER HOMES INC,SCHAEFER HOMES INC,21245300,-84.5638346348253,38.0434610641126
174619,03-01-2020,2761 BURNT MILL RD,,GRADING RESIDENTIAL,0,HARMONY HOME BUILDERS AKA  ANDERSON COMMUNITIES,HARMONY HOME BUILDERS AKA ANDERSON COMMUNITIES,38187880,-84.5559765242668,38.0827129331891
175466,04-04-2014,3435 MCFARLAND LN,,GRADING RESIDENTIAL,0,"THE FAIRWAYS @ ANDOVER, LLC","ALLEN COMPANY INC, THE",22184000,-84.4074178115865,38.0054027371586
176318,05-22-2014,400 CHILESBURG RD,,GRADING RESIDENTIAL,0,BALL HOMES,BALL HOMES INC,22357800,-84.4073315355714,37.9889360293591
176319,05-22-2014,480 CHILESBURG RD,,GRADING RESIDENTIAL,0,BALL HOMES,BALL HOMES INC,22616400,-84.413937974072,37.9859023568821
176892,03-28-2014,689 BYRD THURMAN DR,,GOVERNMENT BLDG/LOCAL,"4,221,000",LFUCG - DIVISION OF WATER QUALITY,W ROGERS COMPANY,38234530,-84.5520122315749,38.0710647036821
177295,02-19-2014,1171 E NEW CIRCLE RD,,AUTOMOBILE DEALERSHIP,"500,281.57",DRIVE TIME SALES AND FINANCE CORPORATION,S C CONTRACTING INC,23446675,-84.4524820985024,38.0332617837217
177391,04-24-2014,830 DE ROODE ST,,APARTMENTS,"400,000",A U ASSOCIATES,A U CONSTRUCTION LLC,38254500,-84.5125375171607,38.0500749542778
177493,07-16-2014,1620 LEESTOWN RD,,"MECHANICAL COMM. $10,001-$25,000","15,800",ARCHLAND PROP,MORRIS HEATING AND COOLING,20057860,-84.5265123303637,38.0670046032892
177974,01-31-2014,3401 NICHOLASVILLE RD,STE FC-7,"MECHANICAL COMM. $10,001-$25,000",0,A & W RESTAURANTS INC,FRANTZ INC,13863185,-84.5292093910634,37.990255929352
178055,04-16-2014,300 W VINE ST,,CO-LOCATE TOWER,0,SIRIUS XM RADIO,PINNACLE WIRELESS USA,10130050,-84.5007638215673,38.0475801168413
178502,01-10-2014,1809 MEETING ST,CLUB HOUSE,RECREATIONAL FACILITY,"301,289.59","CONTINENTAL 245 FUND, LLC","ALBERTELLI CONSTRUCTION, INC.",38251320,-84.4393811129095,38.0401584236618
178583,04-18-2014,817 EAGLES LN,,"FENCE, RESIDENTIAL","6,000",VALORIE JAMES,VALORIE JAMES,19303730,-84.4040372275098,37.9948026618699
178716,01-10-2014,2381 INNOVATION DR,,"MANUFACTURING PROPERTY, FACTORY GENERAL","3,007,122.72",S.P. INNOVATION LLC,BRETT CONSTRUCTION CO,38239270,-84.520721901891,38.101422409664
178770,01-10-2014,1809 MEETING ST,BLDG 2,APARTMENTS,"961,289.59","CONTINENTAL 245 FUND, LLC","ALBERTELLI CONSTRUCTION, INC.",38251320,-84.4393811129095,38.0401584236618
178802,01-27-2014,205 CODELL DR,BLDG 23,"MECHANICAL, MULTI-FAMILY",0,PENNINGTON ASSOCIATES,FAYETTE HEATING & AIR CONDITIONING,38000020,-84.4485403543195,38.0094376484583
178893,01-01-2014,385 S LIMESTONE,,SIGNS,"2,275",TOM BEHR,FLYING ARMADILLO SIGN CO,17010100,-84.5037633546112,38.0419957959107
179080,03-21-2014,3401 NICHOLASVILLE RD,STE 400,RETAIL SALES REMODELING,"500,000",EXPRESS,DEJAGER CONSTRUCTION INC,13863185,-84.5292093910634,37.990255929352
179094,01-10-2014,1809 MEETING ST,BLDG 3,APARTMENTS,"960,000","CONTINENTAL 245 FUND, LLC","ALBERTELLI CONSTRUCTION, INC.",38251320,-84.4393811129095,38.0401584236618
179095,01-10-2014,1809 MEETING ST,BLDG 7,APARTMENTS,"960,000","CONTINENTAL 245 FUND, LLC","ALBERTELLI CONSTRUCTION, INC.",38251320,-84.4393811129095,38.0401584236618
179096,01-10-2014,1809 MEETING ST,BLDG 8,APARTMENTS,"960,000","CONTINENTAL 245 FUND, LLC","ALBERTELLI CONSTRUCTION, INC.",38251320,-84.4393811129095,38.0401584236618
179097,01-10-2014,1809 MEETING ST,BLDG 9,APARTMENTS,"960,000","CONTINENTAL 245 FUND, LLC","ALBERTELLI CONSTRUCTION, INC.",38251320,-84.4393811129095,38.0401584236618
179099,01-10-2014,1809 MEETING ST,BLDG 1,APARTMENTS,"1,152,000","CONTINENTAL 245 FUND, LLC","ALBERTELLI CONSTRUCTION, INC.",38251320,-84.4393811129095,38.0401584236618
179115,01-10-2014,1809 MEETING ST,BLDG 4,APARTMENTS,"1,152,000","CONTINENTAL 245 FUND, LLC","ALBERTELLI CONSTRUCTION, INC.",38251320,-84.4393811129095,38.0401584236618
179117,01-10-2014,1809 MEETING ST,BLDG 5,APARTMENTS,"1,152,000","CONTINENTAL 245 FUND, LLC","ALBERTELLI CONSTRUCTION, INC.",38251320,-84.4393811129095,38.0401584236618
179119,01-10-2014,1809 MEETING ST,BLDG 6,APARTMENTS,"1,152,000","CONTINENTAL 245 FUND, LLC","ALBERTELLI CONSTRUCTION, INC.",38251320,-84.4393811129095,38.0401584236618
179221,01-10-2014,1809 MEETING ST,BLDG 10,APARTMENTS,"1,344,000","CONTINENTAL 245 FUND, LLC","ALBERTELLI CONSTRUCTION, INC.",38251320,-84.4393811129095,38.0401584236618
